ï..Date,Venue,City,Extras,Notes,latitude,longitude
"Monday, July 7, 1986",RFK Stadium,"Washington, D.C.",,,38.9074322,-77.0350922
"Tuesday, July 8, 1986",Great Woods Performing Arts Center,"Mansfield, Massachusetts",,,42.0334326,-71.2189405
"Wednesday, July 9, 1986",Great Woods Performing Arts Center,"Mansfield, Massachusetts",,,42.0334326,-71.2189405
"Friday, July 11, 1986",Civic Center Auditorium,"Hartford, Connecticut",,,41.764582,-72.6908547
"Sunday, July 13, 1986",Saratoga Performing Arts Center,"Saratoga Springs, New York",Review,,43.0821793,-73.7853915
"Tuesday, July 15, 1986",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Wednesday, July 16, 1986",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Thursday, July 17, 1986",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Saturday, July 19, 1986",The Spectrum,"Philadelphia, PennsylvaniaÂ ",Review,,NA,NA
"Sunday, July 20, 1986",The SpectrumÂ ,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Monday, July 21, 1986",Meadowlands Brendan T. Byrne Sports Arena,"East Rutherford, New JerseyÂ ",,,NA,NA
"Tuesday, July 22, 1986",Great Woods Performing Arts CenterÂ ,"Mansfield, Massachusetts",,,42.0334326,-71.2189405
"Thursday, July 24, 1986",Sandstone Amphitheater,"Bonner Springs, Kansas",,,39.059726,-94.8835754
"Saturday, July 26, 1986",Red Rocks Amphitheater,"Morrison, Colorado",,,39.6535988,-105.1910996
"Sunday, July 27, 1986",Red Rocks Amphitheater,"Morrison, Colorado",,,39.6535988,-105.1910996
"Tuesday, July 29, 1986",Memorial Coliseum,"Portland, Oregon",,,45.5202471,-122.6741949
"Thursday, July 31, 1986",Tacoma Dome,"Tacoma, Washington",,,47.2495798,-122.4398746
"Friday, August 1, 1986",The B.C. Place,"Vancouver, British Columbia",Review,,49.2608724,-123.113952
"Sunday, August 3, 1986",The Forum,"Los Angeles, California",Review,,34.0536909,-118.242766
"Tuesday, August 5, 1986",Shoreline Amphitheater,"Mountain View, California",,,37.3893889,-122.0832101
"Wednesday, August 6, 1986",Mid-State Fairground,"Paso Robles, California",,,35.6267654,-120.6912456
,,,,,NA,NA
"Monday, October 13, 1986",Bridge School Benefit,"Mountain View, California",Review,,37.3893889,-122.0832101
,Shoreline Amphitheater,,,,NA,NA
"Tuesday, May 26, 1987",--,"Tuscon, Arizona",,,32.3090726,-111.0827253
"Wednesday, May 27, 1987",Arizona State University Activity Center,"Tempe, Arizona",Review #1,,33.4255056,-111.9400091
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
"Friday, May 29, 1987",Frank Erwin Center,"Austin, Texas",,,30.2711286,-97.7436995
"Saturday, May 30, 1987",The Summit,"Houston, Texas",Review,,29.7589382,-95.3676974
"Monday, June 1, 1987",Reunion Arena,"Dallas, Texas",Setlist,,32.7762719,-96.7968559
"Thursday, June 4, 1987",Concord Pavillon,"Concord, California",,,37.9768525,-122.0335624
"Friday, June 5, 1987",Shoreline Amphitheater,"Mountain View, California",,,37.3893889,-122.0832101
"Saturday, June 6, 1987",Pacific Amphitheatre,"Costa Mesa, California",Review,,33.6636611,-117.91946518435181
"Monday, June 8, 1987",Universal Amphitheater,"Universal City, California",Review,,34.1419417,-118.3584459
"Tuesday, June 9, 1987",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Thursday, June 11, 1987",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Friday, June 12, 1987",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Monday, June 15, 1987",Omaha Civic Auditorium,"Omaha, Nebraska",,,41.2587459,-95.9383758
"Tuesday, June 16, 1987",Met Center,"Bloomington, Minnesota",,,44.8322405,-93.3204872
"Thursday, June 18, 1987",Pine Knob Music Theater,"Clarkson, Michigan",Setlist,,42.5512648,-82.9586042
"Friday, June 19, 1987",Alpine Valley,"East Troy, Wisconsin",Review,,42.7851871,-88.4054374
"Saturday, June 20, 1987",Poplar Creek Music Theater,"Hoffman Estates, Illinois",,,42.0427256,-88.0792782
"Monday, June 22, 1987",Pittsburgh Civic Arena,"Pittsburgh, Pennsylvania",Review #1,,40.4416941,-79.9900861
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
"Tuesday, June 23, 1987",Blossom Music Center,"Cuyahoga Falls, Ohio",Setlist,,41.1348213,-81.4848086
,,,Review #1,,NA,NA
,,,ReviewÂ #2,,NA,NA
,,,Review #3,,NA,NA
"Wednesday, June 24, 1987",Deer Creek Music Center,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Friday, June 26, 1987",Saratoga Performing Arts Center,"Saratoga Springs, New York",Review #1,,43.0821793,-73.7853915
"Saturday, June 27, 1987",Great Woods Performing Arts Center,"Mansfield, Massachusetts",Setlist,,42.0334326,-71.2189405
"Sunday, July 5, 1987",Kingswood Music Theatre,"Maple, Ontario",,,43.8595029,-79.5068522
"Wednesday, July 8, 1987",Madison Square Garden,"New York City, New York",Review,,40.7587979,-73.9623427
"Friday, July 10, 1987",Jones Beach Amphitheater,"Wantagh, New York",Review,,40.6626375,-73.51343832543981
"Saturday, July 11, 1987",Garden State Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Monday, July 13, 1987",--,"Manchester, New Hampshire",,,42.9956397,-71.4547891
"Tuesday, July 14, 1987",--,"Syracuse, New York",,,43.0481221,-76.1474244
"Thursday, July 16, 1987",The Spectrum,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Friday, July 17, 1987",New Haven Veterans Memorial Coliseum,"New Haven, Connecticut",Setlist,,41.3082138,-72.9250518
"Saturday, July 18, 1987",Lakeside Amphitheatre,"Darien Center, New York",,,42.9011709,-78.3886312
"Monday, July 20, 1987",Merriweather Post Pavillion,"Columbia, Maryland",,,39.1938429,-76.86460919353361
"Wednesday, July 22, 1987",The Omni,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Friday, July 24, 1987",Memorial Coliseum,"Jacksonville, Florida",Setlist,FM Broadcast,30.3321838,-81.655651
"Saturday, July 25, 1987",West Palm Beach Auditorium,"West Palm Beach, Florida",Review,,26.715364,-80.0532942
"Sunday, July 26, 1987",USF Sun Dome,"Tampa, Florida",Review #1,,27.9477595,-82.458444
,,,Review #2,,NA,NA
"Saturday, September 5, 1987",Hayarkton ParkÂ ,"Tel-Aviv, Israel",Review,,32.0852997,34.7818064
"Monday, September 7, 1987",Sultan's Pool,"Jerusalem, Israel",,,31.7788242,35.2257626
"Thursday, September 10, 1987",St. Jacobshalle,"Basel, Switzerland",,,47.5581077,7.5878261
"Saturday, September 12, 1987",Area Ex Autodromo,"Moderna, Italy",,,41.630282,15.91543
"Sunday, September 13, 1987",Palasport,"Turin, Italy",,,45.0677551,7.6824892
"Tuesday, September 15, 1987",Westfalenhalle,"Dortmund, West Germany",,,51.5130679,7.4689417
"Wednesday, September 16, 1987",Frankenhalle,"Nuremberg, West Germany",,,49.453872,11.077298
"Thursday, September 17, 1987",Treptower Festwiese,"East Berlin, East Germany",,,52.4801425,13.3952556
"Saturday, September 19, 1987",Sportspaleis Ahoy,"Rotterdam, The Netherlands",,,51.9244424,4.47775
"Sunday, September 20, 1987",Messehalle 20,"Hanover, West Germany",,,53.800195650000006,-1.7617270834773824
"Monday, September 21, 1987",Valby Hallen,"Copenhagen, Denmark",,,55.6867243,12.5700724
"Wednesday, September 23, 1987",JÃ¤Ã¤halli,"Helsinki, Finland",,,60.1674881,24.9427473
"Friday, September 25, 1987",Scandinavium,"Gothernbeg, Sweden",,,NA,NA
"Saturday, September 26, 1987",Johanneshovs Isstadion,"Stockholm, Sweden",,,59.3251172,18.0710935
"Monday, September 28, 1987",Festhalle,"Frankfurt, West Germany",,,50.1050925,8.5859703
"Tuesday, September 29, 1987",Hanns Martin Schleyerhalle,"Stuttgart, West Germany",,,48.7246279,9.1173268
"Wednesday, September 30, 1987",Olympiahalle,"Munich, West Germany",,,48.1147179,11.5986183
"Thursday, October 1, 1987",Arena di Verona,"Verona, Italy",,,45.4384958,10.9924122
"Saturday, October 3, 1987",Roma Palaeur,"Rome, Italy",,,41.8933203,12.4829321
"Sunday, October 4, 1987",Arena Civica di Milano,"Milano, Italy",,,45.4641943,9.1896346
"Monday, October 5, 1987",Piazza Grande,"Locarno, Switzerland",,,46.1695112,8.7954217
"Wednesday, October 7, 1987",P.O.P.B. Bercy,"Paris, France",,,48.8588897,2.3200410217200766
"Thursday, October 8, 1987",Vorst Nationaal,"Brussels, Belgium",,,50.8465573,4.351697
"Saturday, October 10, 1987",National Exhibition Centre,"Birmingham, England",,,52.4796992,-1.9026911
"Sunday, October 11, 1987",National Exhibition Centre,"Birmingham, England",,,52.4796992,-1.9026911
"Monday, October 12, 1987",National Exhibition Centre,"Birmingham, England",,,52.4796992,-1.9026911
"Wednesday, October 14, 1987",Wembley Arena,"London, England",,,51.5073219,-0.1276474
"Thursday, October 15, 1987",Wembley Arena,"London, England",,,51.5073219,-0.1276474
"Friday, October 16, 1987",Wembley Arena,"London, England",,,51.5073219,-0.1276474
"Saturday, October 17, 1987",Wembley Arena,"London, England",,Special Guest: George Harrison,51.5073219,-0.1276474
,,,,,NA,NA
"Sunday, December 4, 1988",Bridge School Benefit,"Oakland, California",,,37.8044557,-122.2713563
,Oakland Coliseum,,,,NA,NA
"Saturday, May 20, 1989",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 14, Episode 266)",40.7587979,-73.9623427
,,,,Runnin' Down a Dream/Free Fallin',NA,NA
"Wednesday, July 5, 1989",Miami Arena,"Miami, Florida",,,25.7741728,-80.19362
"Thursday, July 6, 1989",Bayfront Center Arena,"St. Petersburg, Florida",,Special Guest: Roger McGuinn,27.7703796,-82.6695085
"Saturday, July 8, 1989",Orlando Arena,"Orlando, Florida",Review,,28.5421109,-81.3790304
"Sunday, July 9, 1989","Marcus, Amphitheater","Milwaukee, Wisconsin",Review #1,,43.0349931,-87.922497
,,,Review #2,,NA,NA
"Thursday, July 13, 1989",The Summit,"Houston, Texas",Review,,29.7589382,-95.3676974
"Friday, July 14, 1989",Frank Erwin Center,"Austin, Texas",,,30.2711286,-97.7436995
"Saturday, July 15, 1989",Starplex Amphitheatre,"Dallas, Texas",,,32.7762719,-96.7968559
"Monday, July 17, 1989",Fiddler's Green Amphitheatre,"Colorado Springs, Colorado",,,38.8339578,-104.8253485
"Thursday, July 20, 1989",Seattle Center Coliseum,"Seattle, Washington",,,47.6038321,-122.3300624
"Saturday, July 22, 1989",Shoreline Amphitheater,"Mountain View, California",,,37.3893889,-122.0832101
"Sunday, July 23, 1989",Cal Expo Amphitheatre,"Sacramento, California",,,38.5810606,-121.493895
"Tuesday, July 25, 1989",SDSU Open Air Theatre,"San Diego, California",Review,,32.7174202,-117.1627728
"Wednesday, July 26, 1989",ASU Activity Center,"Tempe, Arizona",,,33.4255056,-111.9400091
"Thursday, July 27, 1989",Pacific Amphitheatre,"Costa Mesa, California",,,33.6636611,-117.91946518435181
"Saturday, July 29, 1989",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Sunday, July 30, 1989",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Monday, July 31, 1989",Universal Amphitheater,"Universal City, California",,,34.1419417,-118.3584459
"Friday, August 4, 1989",Lakewood Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Monday, August 7, 1989",Pine Knob,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Tuesday, August 8, 1989",Blossom Music Center,"Cuyahoga Falls, Ohio",Review,,41.1348213,-81.4848086
"Thursday, August 10, 1989",Poplar Creek,"Hoffman Estates, Illinois",Review,,42.0427256,-88.0792782
"Friday, August 11, 1989",Deer Creek Music Center,"Noblesville, Illinois",,,NA,NA
"Sunday, August 13, 1989",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Tuesday, August 15, 1989",Mann Music Center,"Philadelphia, Pennslylvania",Review,,NA,NA
"Wednesday, August 16, 1989",Jones Beach,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Friday, August 18, 1989",Orange County Fairgrounds,"Middletown, New York",,,40.8397222,-73.8316667
"Saturday, August 19, 1989",Brendan Byrne Arena,"East Rutherford, New Jersey",,,40.82046,-74.08307621723368
"Sunday, August 20, 1989",Garden State Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Wednesday, August 23, 1989",Merriweather Post Pavillion,"Columbia, Maryland",,,39.1938429,-76.86460919353361
"Thursday, August 25, 1989",A.J. Palumbo Center,"Pittsburgh, Pennsylvania",Review #1,,40.4416941,-79.9900861
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
,,,Review #4,,NA,NA
"Saturday, August 26, 1989",New York State Fair,"Syracuse, New York",,Special Guest: Axl Rose,43.0481221,-76.1474244
"Sunday, August 27, 1989",Saratoga Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Monday, August 28, 1989",Great Woods,"Mansfield, Massachussets",,,NA,NA
"Wednesday, August 30, 1989",Allentown Fairgrounds,"Allentown, Pennsylvania",Review,,40.6022059,-75.4712794
"Thursday, August 31, 1989",Lake Compounce Festival Park,"Bristol, Connecticut",Review,,41.6735209,-72.9464859
"Saturday, September 2, 1989",Kingswood Music Theatre,"Maple, Ontario",Review,,43.8595029,-79.5068522
"Wednesday, September 6, 1989",MTV Video Music Awards,"Universal City, California",,,34.1419417,-118.3584459
,Universal Amphitheater,,,,NA,NA
"Friday, September 8, 1989",Great Woods,"Mansfield, Massachussets",Review,,NA,NA
"Saturday, September 9, 1989",War Memorial Arena,"Rochester, New York",,Recorded for Westwood One Superstar Concert Series,43.157285,-77.615214
"Sunday, September 10, 1989",Ohio Center,"Columbus, Ohio",,Recorded for Westwood One Superstar Concert Series,39.9622601,-83.0007065
"Wednesday, September 13, 1989",Dean Smith Center,"Chapel Hill, North Carolina",,Recorded for Westwood One Superstar Concert Series,35.9131542,-79.05578
,,,,,NA,NA
"Saturday, October 28, 1989",Bridge School Benefit,"Mountain View, California",,,37.3893889,-122.0832101
,Shoreline Amphitheater,,,,NA,NA
"Wednesday, January 24, 1990",Universal Amphitheater,"Universal City, Los Angeles",,Taping ofÂ Late Night with David Letterman,34.1419417,-118.3584459
,,,,"Broadcast February 1, 1990",NA,NA
"Friday, January 26, 1990",USF Sun Dome,"Tampa, Florida",,,27.9477595,-82.458444
"Saturday, January 27, 1990",O'Connell Center,"Gainesville, Florida",Review #1,,29.6519684,-82.3249846
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
"Monday, January 29, 1990",Charlotte Coliseum,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Wednesday, January 31, 1990",Nassau Coliseum,"Uniondale, New York",Review,,40.7159385,-73.59384782542784
"Thursday, February 1, 1990",Providence Civic Center,"Providence, Rhode Island",Review,,41.8239891,-71.4128343
"Saturday, February 3, 1990",Knickerbocker Arena,"Albany, New York",,,42.6511674,-73.754968
"Sunday, February 4, 1990",Patriot Center,"Fairfax, Virginia",,,38.8462236,-77.3063733
"Tuesday, February 6, 1990",The Spectrum,"Philadelphia, Pennsylvania",Review #1,,39.9527237,-75.1635262
,,,Review #2,,NA,NA
,,,Review #3,,NA,NA
,,,Review #4,,NA,NA
,,,Review #5,,NA,NA
"Wednesday, February 7, 1990",Nassau Coliseum,"Uniondale, New York",Review,,40.7159385,-73.59384782542784
"Thursday, February 8, 1990",Hartford Civic Center Coliseum,"Hartford, Connecticut",,,41.764582,-72.6908547
"Saturday, February 10, 1990",University of Dayton Arena,"Dayton, Ohio",,,39.7589478,-84.1916069
"Sunday, February 11, 1990",Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Tuesday, February 13, 1990",Richfield Coliseum,"Richfield, Ohio",,,41.2397772,-81.6381785
"Thursday, February 15, 1990",Rosemont Horizon,"Rosemont, Illinois",Review,,41.9941334,-87.8756737
"Friday, February 16, 1990",Redbird Arena,"Normal, Illinois",Review,,40.5092866,-88.9843795
"Saturday, February 17, 1990",Carver-Hawkeye Arena,"Iowa City, Iowa",Review,,41.6612561,-91.5299106
"Monday, February 19, 1990",Hilton Coliseum,"Ames, Iowa",,,42.0267567,-93.6170448
"Tuesday, February 20, 1990",Met Center,"Bloomington, Minnesota",,,44.8322405,-93.3204872
"Thursday, February 22, 1990",Market Square Arena,"Indianapolis, Indiana",Review,,39.7683331,-86.1583502
"Friday, February 23, 1990",SIU Arena,"Carbondale, Illinois",,,37.7274692,-89.216655
"Sunday, February 25, 1990",Kiel Auditorium,"St. Louis, Missouri",,,38.6529545,-90.24111656024635
"Monday, February 26, 1990",Kemper Arena,"Kansas City, Missouri",,,39.100105,-94.5781416
"Thursday, March 1, 1990",The Forum,"Los Angeles, California",Review,Special Guests: Bob Dylan and Bruce Springsteen,34.0536909,-118.242766
"Saturday, March 3, 1990",Pacific Ampitheatre,"Costa Mesa, California",,Special Guest: Roger McGuinn,33.6636611,-117.91946518435181
"Monday, March 5, 1990",Arco Arena,"Sacramento, California",,,38.5810606,-121.493895
"Tuesday, March 6, 1990",Oakland Coliseum,"Oakland, California",,,37.8044557,-122.2713563
"Thursday, August 29, 1991",Fiddler's Green,"Denver, Colorado",,,39.7392364,-104.9848623
"Saturday, August 31, 1991",Municipal Auditorium,"Kansas City, Missouri",,,39.100105,-94.5781416
"Sunday, September 1, 1991",Riverport Amphitheatre,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Tuesday, September 3, 1991",Omaha Civic Auditorium,"Omaha, Nebraska",,,41.2587459,-95.9383758
"Wednesday, September 4, 1991",Met Center,"Bloomington, Minnesota",,,44.8322405,-93.3204872
"Friday, September 6, 1991",Poplar Creek Music Theatre,"Hoffman Estates, Illinois",,,42.0427256,-88.0792782
"Saturday, September 7, 1991",Marcus Amphitheatre,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
"Tuesday, September 10, 1991",Deer Creek Music Theatre,"Noblesville, Illinois",,,NA,NA
"Thursday, September 12, 1991",Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Friday, September 13, 1991",Blossom Music Centr,"Cuyahoga Falls, Ohio",,,41.1348213,-81.4848086
"Sunday, September 15, 1991",Post-Gazette Pavilion at Star Lake,"Burgettstown, Pennsylvania",,,40.3820133,-80.3928423
"Monday, September 16, 1991",First Union Spectrum,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Wednesday, September 18, 1991",Onondaga County War Memorial,"Syracuse, New York",,,43.0481221,-76.1474244
"Thursday, September 19, 1991",Hartford Civic Center Coliseum,"Hartford, Connecticut",,,41.764582,-72.6908547
"Saturday, September 21, 1991",Knickerbocker Arena,"Albany, New York",,,42.6511674,-73.754968
"Sunday, September 22, 1991",Maple Leaf Gardens,"Toronto, Ontario",,,43.6534817,-79.3839347
"Tuesday, September 24, 1991",Capital Centre,"Landover, Maryland",,,38.92531295,-76.88154330442846
"Wednesday, September 25, 1991",William & Mary Hall,"Williamsburg, Virginia",,,37.2708788,-76.7074042
"Tuesday, October 8, 1991",Nassau Coliseum,"Uniondale, New York",,,40.7159385,-73.59384782542784
"Wednesday, October 9, 1991",Continental Airlines Arena,"East Rutherford, New Jersey",,,40.82046,-74.08307621723368
"Friday, October 11, 1991",Broome County Arena,"Binghamton, New York",,,42.0987125,-75.9125262
"Saturday, October 12, 1991",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 17, Episode 309)",40.7587979,-73.9623427
,,,,Into the Great Wide Open/King's Highway,NA,NA
"Monday, October 14, 1991",Walnut Creek,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Tuesday, October 15, 1991",Blockbuster Pavilion,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Saturday, October 19, 1991",Lakewood Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Sunday, October 20, 1991",Carolina Coliseum,"Columbia, South Carolina",,,38.889744050000004,-77.04086075512475
"Tuesday, October 22, 1991",Miami Arena,"Miami, Florida",,,25.7741728,-80.19362
"Wednesday, October 23, 1991",USF Sun Dome,"Tampa, Florida",,,27.9477595,-82.458444
"Friday, October 25, 1991",Orlando Arena,"Orlando, Florida",,,28.5421109,-81.3790304
"Saturday, October 26, 1991",O'Connell Center,"Gainesville, Florida",,,29.6519684,-82.3249846
"Tuesday, October 29, 1991",Kiefer UNO Lakefront Arena,"New Orleans, Louisiana",,,29.9499323,-90.0701156
"Wednesday, October 30, 1991",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Friday, November 1, 1991",Frank Erwin Center,"Austin, Texas",,,30.2711286,-97.7436995
"Saturday, November 2, 1991",Smirnoff Music Centre,"Dallas, Texas",,,32.7762719,-96.7968559
"Monday, November 4, 1991",Myriad Arena,"Oklahoma City, Oklahoma",,,35.4729886,-97.5170536
"Wednesday, November 6, 1991",Pan American Center,"Las Cruches, New Mexico",,,NA,NA
"Friday, November 8, 1991",Blockbuster Desert Sky Pavilion,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Saturday, November 9, 1991",Pacific Amphitheatre,"Costa Mesa, California",,,33.6636611,-117.91946518435181
"Monday, November 11, 1991",Great Western Forum,"Inglewood, California",,,33.9562003,-118.353132
"Tuesday, November 12, 1991",San Diego Sports Arena,"San Diego, California",,,32.7174202,-117.1627728
"Wednesday, November 20, 1991",Key Arena at Seattle Center,"Seattle, Washington",,,47.6038321,-122.3300624
"Thursday, November 21, 1991",Memorial Coliseum,"Portland, Oregon",,,45.5202471,-122.6741949
"Saturday, November 23, 1991",Lawlor Events Center,"Reno, Nevada",,,39.5261206,-119.8126581
"Sunday, November 24, 1991",Oakland Arena,"Oakland, California",,,37.8044557,-122.2713563
"Wednesday, November 27, 1991",Arco Arena,"Sacramento, California",,,38.5810606,-121.493895
"Wednesday, March 4, 1992",Sporthalle,"Oslo, Norway",,,59.9133301,10.7389701
"Friday, March 6, 1992",Scandinavium Arena,"Gothenburgh, Sweden",,,NA,NA
"Saturday, March 7, 1992",Globe Arena,"Stockholm, Sweden",,,59.3251172,18.0710935
"Monday, March 9, 1992",Sporthalle,"Hamburg, Germany",,,53.550341,10.000654
"Tuesday, March 10, 1992",Deutschlandhalle,"Berlin, Germany",,,52.5170365,13.3888599
"Thursday, March 12, 1992",Grugahalle,"Essen, Germany",,,51.4582235,7.0158171
"Sunday, March 15, 1992",Scottish Exhibition and Conference Centre,"Glasgow, Scotland",,,55.8609825,-4.2488787
"Monday, March 16, 1992",King's Hall,"Belfast, Ireland",,,54.596391,-5.9301829
"Wednesday, March 18, 1992",Point Depot,"Dublin, Ireland",,,53.3497645,-6.2602732
"Thursday, March 19, 1992",Point Depot,"Dublin, Ireland",,,53.3497645,-6.2602732
"Saturday, March 21, 1992",National Exhibition Center,"Birmingham, England",,,52.4796992,-1.9026911
"Monday, March 23, 1992",Wembly Arena,"London, England",,,51.5073219,-0.1276474
"Tuesday, March 24, 1992",Wembly Arena,"London, England",,,51.5073219,-0.1276474
"Thursday, March 26, 1992",Festhalle,"Frankfurt, Germany",,,50.1106444,8.6820917
"Friday, March 27, 1992",Olympiahalle,"Munich, Germany",,,48.1371079,11.5753822
"Sunday, March 29, 1992",St. Jakob Sporthalle,"Basel, Switzerland",,,47.5581077,7.5878261
"Monday, March 30, 1992",Zenith,"Paris, France",,,48.8588897,2.3200410217200766
"Wednesday, April 1, 1992",Bruxelles,"Brussels, Belgium",,,50.8465573,4.351697
"Thursday, April 2, 1992",Isstadion,"Malmo, Sweden",,,55.6052931,13.0001566
"Friday, October 16, 1992",Bob Dylan 30th Anniversary Concert,"New York City, New York",,,40.7587979,-73.9623427
,Madison Square Garden,,,,NA,NA
"Saturday, August 14, 1993",Viper Room,"West Hollywood, California",,,34.0923014,-118.3692894
"Tuesday, November 2, 1993",Bayfront Center Arena,"St. Petersburg, Florida",,with Carlene Carter,27.7703796,-82.6695085
"Thursday, November 4, 1993",O'Connell Center,"Gainesville, Florida",,with Carlene Carter,29.6519684,-82.3249846
,,,,Westwood One radio broadcast,NA,NA
"Saturday, October 1, 1994",Bridge School Benefit,"Mountain View, California",,,37.3893889,-122.0832101
,Shoreline Amphitheatre,,,,NA,NA
"Sunday, October 2, 1994",Bridge School Benefit,"Mountain View, California",,,37.3893889,-122.0832101
,Shoreline Amphitheatre,,,,NA,NA
"Saturday, November 19, 1994",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 20, Episode 372)",40.7587979,-73.9623427
,,,,You Don't Know How It Feels/Honey Bee,NA,NA
,,,,Dave Grohl on drums,NA,NA
"Tuesday, February 28, 1995",Louisville Gardens,"Louisville, Kentucky",,,38.2542376,-85.759407
"Wednesday, March 1, 1995",Market Square Arena,"Indianapolis, Indiana",,,39.7683331,-86.1583502
"Friday, March 3, 1995",Joyce ACC Arena,"South Bard, Indiana",,,39.9885487,-86.1224563
"Sunday, March 5, 1995",Milwaukee Arena,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
"Monday, March 6, 1995",Peoria Civic Center Arena,"Peoria, Illinois",,,40.6938609,-89.5891008
"Wednesday, March 8, 1995",United Center,"Chicago, Illinois",,,41.8755616,-87.6244212
"Thursday, March 9, 1995",Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Saturday, March 11, 1995",Battelle Hall,"Columbus, Ohio",,,39.9622601,-83.0007065
"Sunday, March 12, 1995",Cincinnati Gardens,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Tuesday, March 14, 1995",Pittsburgh Civic Arena,"Pittsburgh, Pennsylvania",,,40.4416941,-79.9900861
"Thursday, March 16, 1995",CSU Convocation Center,"Cleveland, Ohio",,,41.5051613,-81.6934446
"Friday, March 17, 1995",Maple Leaf Gardens,"Toronto, Ontario",,,43.6534817,-79.3839347
"Monday, March 20, 1995",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Tuesday, Match 21, 1995",Knickerbocker Arena,"Albany, New York",,,42.6511674,-73.754968
"Thursday, March 23, 1995",Blue Cross Arena,"Rochester, New York",,,43.157285,-77.615214
"Saturday, April 1, 1995",New Haven Veterans Memorial ColiseumÂ ,"New Haven, Connecticut",,,41.3082138,-72.9250518
"Sunday, April 2, 1995",Nassau ColiseumÂ ,"Uniondale, New York",,,40.7159385,-73.59384782542784
"Tuesday, April 4, 1995",Boston GardenÂ ,"Boston, Massachussetts",,,NA,NA
"Wednesday, April 5, 1995",Boston GardenÂ ,"Boston, Massachussetts",,,NA,NA
"Friday, April 7, 1995",First Union SpectrumÂ ,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Sunday, April 9, 1995",Patriot Center,"Fairfax, Virginia",,,38.8462236,-77.3063733
"Tuesday, April 11, 1995",Richmond Coliseum,Richmond. Virginia,,,37.5385087,-77.43428
"Wednesday, April 12, 1995",Walnut Creek,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Friday, April 14, 1995",Blockbuster Pavilion,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Saturday, April 15, 1995",Lakewood Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Tuesday, April 18, 1995",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Wednesday, April 19, 1995",Bass Concert Hall,"Austin, Texas",,,30.2711286,-97.7436995
"Friday, April 21, 1995",Bass Concert Hall,"Austin, Texas",,,30.2711286,-97.7436995
"Saturday, April 22, 1995",Smirnoff Music Center,"Dallas, Texas",,,32.7762719,-96.7968559
"Tuesday, April 25, 1995",Blockbuster Desert Sky Pavilion,"Phoenix, Arizona",,,33.4484367,-112.0741417
